Random1
First layer
48.96963278900203+1.636554078505024: 2.6645352591003757e-15
13.46013856772614+-3.0787069191521454: -4.440892098500626e-16
0.3103516350268792+-42.1798747246153: 2.942091015256665e-15
-0.8540434603870175+-1.6802209696590857: -2.220446049250313e-16
-41.86952308958843+-15.257141723960574: -1.7763568394002505e-15
-10.485348773558618+12.979176592075584: 0.0
-1.8486097014435487+-9.483146654150834: -4.440892098500626e-16
9.20082601849168+0.5713718331230768: -4.440892098500626e-16
4.903489325886627+-1.511625482639737: 0.0
-5.4177378237791+2.0006375471651396: 0.0
-2.2679188154549017+11.65723043812002: 0.0
50.60618686750705+16.204065303315936: -7.105427357601002e-15
16.303876502183382+2.623763957890806: 8.881784197001252e-16
9.772197851614758+32.08921176537165: 1.7763568394002505e-15
-6.041580561988125+-1.24906797754384: -2.220446049250313e-16
